Name,Modalitats preferides,Disponibilitat,,,,,,,,,,,
xsune,Tecnologia,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
anna.serranomollar,Naturals | Medi ambient,'11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
adela.svobodova,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
mlcbmc,Salut,'10 març: 15-17H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
marcbatlleaixala,Ciències pures,11 març: 11-14H,,,,,,,,,,,
malbert,Socials | Comunicació | Llengua | Economia | Història,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
maribelco,Salut,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
molins.maite,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
cansuilke89,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
jconchelo,Ciències pures,'10 març: 11-14H, 10 març: 15-17H',,,,,,,,,,,
eva.pocurull,Ciències pures,'11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
nrodriguez,Art | Música | Pensament,12 març: 11-14H,,,,,,,,,,,
csolsona,Socials | Comunicació | Llengua | Economia | Història,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
arodr144,Ciències pures,10 març: 15-17H,,,,,,,,,,,
manuel.moreno,Ciències pures,'11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
natalia.moreno,Naturals | Medi ambient,10 març: 11-14H,,,,,,,,,,,
alicia.martine…,Tecnologia,10 març: 11-14H,,,,,,,,,,,
edu,Art | Música | Pensament,10 març: 11-14H,,,,,,,,,,,
miguelpuga00,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
antoniomunyoz,Tecnologia,'11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
delbariri6,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
eric.voltaduran,Salut,11 març: 15-17H,,,,,,,,,,,
jpique12,Art | Música | Pensament,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H',,,,,,,,,,,
albert,Art | Música | Pensament,12 març: 11-14H,,,,,,,,,,,
ester.miquel,Art | Música | Pensament,11 març: 15-17H,,,,,,,,,,,
acruzg,Naturals | Medi ambient,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
xavier.subirats,Ciències pures,10 març: 11-14H,,,,,,,,,,,
vadimpisarenco,Naturals | Medi ambient,'11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
amonne,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
ian.blanes,Tecnologia,10 març: 11-14H,,,,,,,,,,,
nacho.alfonso22,Ciències pures,11 març: 11-14H,,,,,,,,,,,
ivone,Naturals | Medi ambient,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
maira,Naturals | Medi ambient,10 març: 11-14H,,,,,,,,,,,
olgadolgova,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
josepgr,Salut,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H',,,,,,,,,,,
Jan.Atienza,Ciències pures,'10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
eloi,Naturals | Medi ambient,11 març: 11-14H,,,,,,,,,,,
lopezlagunah,Naturals | Medi ambient,'11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
alextorrentahn,Art | Música | Pensament,12 març: 11-14H,,,,,,,,,,,
paucostasoriano,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
incalacentre,Art | Música | Pensament,10 març: 15-17H,,,,,,,,,,,
mfornells3,Art | Música | Pensament,11 març: 15-17H,,,,,,,,,,,
nuria.salan,Tecnologia,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
laia.gispert1997,Salut,12 març: 11-14H,,,,,,,,,,,
julialert,Naturals | Medi ambient,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
genoveva.marti,Art | Música | Pensament,10 març: 15-17H,,,,,,,,,,,
moliveras,Art | Música | Pensament,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
candela.mazaira,Socials | Comunicació | Llengua | Economia | Història,12 març: 11-14H,,,,,,,,,,,
pgrommes,Salut,'10 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
sharrah.mckenzie,Ciències pures,12 març: 11-14H,,,,,,,,,,,
difusiociencia,Salut,10 març: 11-14H,,,,,,,,,,,
neusotero99,Salut,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
sergio.lopez.estevez,'Ciències pures, Naturals | Medi ambient',12 març: 11-14H,,,,,,,,,,,
fco.de.pedro,Art | Música | Pensament,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
agnes7596,Ciències pures,12 març: 11-14H,,,,,,,,,,,
umaria1997,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
amenam,Naturals | Medi ambient,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
irenevivancos29,Salut,'11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
rgarcia,Tecnologia,10 març: 11-14H,,,,,,,,,,,
ignacio.de.corral,Socials | Comunicació | Llengua | Economia | Història,'10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
carles.mateu,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
mllesaca,Art | Música | Pensament,10 març: 11-14H,,,,,,,,,,,
antonio.barbadilla,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
annarigol,Ciències pures,'10 març: 11-14H, 10 març: 15-17H',,,,,,,,,,,
psenra,Ciències pures,'10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
tonisolsona,Socials | Comunicació | Llengua | Economia | Història,12 març: 11-14H,,,,,,,,,,,
xavier.munoz,Ciències pures,'11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
bielca98,Ciències pures,12 març: 11-14H,,,,,,,,,,,
claudia.uranga…,Art | Música | Pensament,12 març: 11-14H,,,,,,,,,,,
MBARTOLOME,Salut,11 març: 11-14H,,,,,,,,,,,
JVIRGILI,Salut,10 març: 15-17H,,,,,,,,,,,
LCENDROS,Salut,12 març: 11-14H,,,,,,,,,,,
martita0597,Salut,12 març: 11-14H,,,,,,,,,,,
maica.sanz,Socials | Comunicació | Llengua | Economia | Història,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H',,,,,,,,,,,
vicente.martinez,Naturals | Medi ambient,'11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
